LI-8100:	     20c	      93	    9787	     233	     188
File Name:	SR_5_2800_east
Instrument Name:	GCBG
Serial Number:	81A-0265
Software:	2.0.0	LI-8100 File Viewer 2.0.0
Comments:	
Obs#:	1
Port#:	0
Label:	SR_5_2800_east
Observation Length:	03:00
Observation Delay:	00:00
IRGA Averaging:	4
Flow8100:	10
FlowMux:	0
Tmux:	0,00
Virga:	19,0
Vmux:	55,0
Vext:	0,0
Vcham:	835,2
Offset:	3,0
Area:	317,8
Vtotal:	1807,6
V1 Info:	0	M=1	B=0
V2 Info:	0	M=1	B=0
V3 Info:	0	M=1	B=0
V4 Info:	0	M=1	B=0
Labels_01:	28
Type	Etime	Date	Tcham	Pressure	H2O	CO2	Cdry	T1	T2	T3	T4	V1	V2	V3	V4	RH	Tbench	Tboard	Vin	CO2ABS	H2OABS	Hour	DOY	RAWCO2	RAWCO2REF	RAWH2O	RAWH2OREF
1	54	2023-12-09 13:50:57	26.29	72.9	17.31	401.2	408.27	-183.33	-183.3	-183.3	-183.23	0.178	0	0.014	0	36.76	51.25	29.97	12.3	0.0825	0.10033	13.8492	343.57705	2260265	2551532	1695247	1707387
1	55	2023-12-09 13:50:58	26.3	72.9	17.289	401.83	408.9	-183.23	-183.23	-183.19	-183.26	0.178	0	0.014	0	36.7	51.31	29.97	12.3	0.08255	0.10018	13.8494	343.57706	2259982	2551329	1695194	1707167
1	56	2023-12-09 13:50:59	26.3	72.9	17.285	402.09	409.16	-183.25	-183.25	-183.21	-183.18	0.178	0	0.015	0	36.69	51.28	29.97	12.3	0.08286	0.10008	13.8497	343.57707	2259404	2551383	1695062	1706965
1	57	2023-12-09 13:51:00	26.3	72.91	17.271	402.28	409.35	-183.31	-183.28	-183.21	-183.28	0.178	0	0.015	0	36.66	51.31	29.99	12.29	0.08265	0.10011	13.8500	343.57708	2259547	2551072	1694959	1706866
1	58	2023-12-09 13:51:01	26.31	72.91	17.251	402.71	409.78	-183.3	-183.3	-183.26	-183.3	0.178	0	0.014	0	36.62	51.31	29.99	12.29	0.08288	0.09992	13.8503	343.57709	2259153	2551111	1694972	1706676
1	59	2023-12-09 13:51:02	26.31	72.9	17.248	403.04	410.11	-183.3	-183.3	-183.3	-183.26	0.178	0	0.015	0	36.59	51.25	29.99	12.29	0.08312	0.0999	13.8506	343.57711	2258921	2551342	1694850	1706524
1	60	2023-12-09 13:51:03	26.31	72.9	17.232	403.68	410.76	-183.3	-183.3	-183.26	-183.26	0.178	0	0.014	0	36.55	51.25	29.99	12.29	0.08297	0.1	13.8508	343.57712	2258589	2550629	1694584	1706353
1	61	2023-12-09 13:51:04	26.31	72.9	17.221	403.69	410.76	-183.31	-183.31	-183.28	-183.28	0.178	0	0.014	0	36.53	51.25	30	12.3	0.08281	0.09983	13.8511	343.57713	2258566	2550268	1694704	1706284
1	62	2023-12-09 13:51:05	26.31	72.9	17.204	404.4	411.48	-183.35	-183.31	-183.24	-183.31	0.178	0	0.014	0	36.49	51.25	30	12.29	0.08322	0.09976	13.8514	343.57714	2258346	2550906	1694577	1706102
1	63	2023-12-09 13:51:06	26.31	72.9	17.197	404.58	411.66	-183.35	-183.31	-183.28	-183.28	0.178	0	0.014	0	36.48	51.25	30	12.29	0.08302	0.09979	13.8517	343.57715	2257976	2550078	1694421	1705972
