"","filename","site","elevation","aspect","plot","day.night","measurement","tstart","tfinish","wamb","tav","pav","cav","flux_value_original","flux_nlm","lm_rsqd","non_linear_sigma","aic_lm","aic_nlm","w_prime_min","w_prime_max","suggested.discard","flux","comments","pairID","flag","flux_value"
"34","3_2400_west_1_day_photo","3","2400","west","1","day","photo",20,80,21.2908311293776,22.06306875,76.2314598958333,413.841380208333,1.02977651485434,0.372071322612301,0.955195827455779,0.11398691585341,-95.4304542015146,-84.8571874961025,23.6334442337807,25.476949329133,TRUE,"ET","Redo is better","3_west_1_day_ET","discard_this_keep_other_reading",NA
"35","3_2400_west_1_day_redo_photo","3","2400","west","1","day","redo",20,80,22.8174026529721,22.5557203592814,76.2321874251497,410.238221556886,1.89138009845085,1.42277049539289,0.966348219934138,0.264136998780985,-39.2249027224608,14.3081522021375,24.4148798310125,27.5497388019941,FALSE,"ET","This is better","3_west_1_day_ET","manual_flux_time_selection",1.89138009845085
"36","3_2400_west_2_day_photo","3","2400","west","2","day","photo",20,80,19.6829731586647,22.2420145038168,76.238193129771,413.678099236641,1.94237547535684,-0.140277141438485,0.96027815808665,0.256375474047516,-25.6178810488641,10.7888213308462,23.4898075255773,26.688353062519,FALSE,"ET","This is better","3_west_2_day_ET","manual_flux_time_selection",1.94237547535684
"37","3_2400_west_2_day_redo_photo","3","2400","west","2","day","redo",20,80,22.0469504782286,23.0754296875,76.24773203125,411.3715234375,2.7417623075566,2.02058184011742,0.978762356361313,0.371613642239032,-22.5940406013663,54.5917963844249,23.9920308844188,28.5803390159654,TRUE,"ET","The original is better","3_west_2_day_ET","discard_this_keep_other_reading",NA
"38","3_2400_west_3_day_photo","3","2400","west","3","day","photo",20,80,20.6086550597993,22.3438896825397,76.280576984127,409.005023809524,1.80144019963348,1.19901276161513,0.992094458763172,0.285941609455151,-135.296186932111,23.667879623386,24.2789972103762,27.3287951426251,FALSE,"ET",NA,"3_west_3_day_ET","okay",1.80144019963348
"39","3_2400_west_4_day_photo","3","2400","west","4","day","photo",20,80,20.4863014107255,23.0490414473684,76.2812421052632,403.860256578947,2.39159761807489,1.561220652752,0.9921613329496,0.399706190063895,-100.957009953583,63.1910503899773,25.2856984230798,29.1886123985117,FALSE,"ET",NA,"3_west_4_day_ET","okay",2.39159761807489
"40","3_2400_west_5_day_photo","3","2400","west","5","day","photo",20,80,21.1643044012233,22.5917031746032,76.3219047619048,414.713182539683,0.711313612367748,3.25518266459457,0.722307235229328,0.174284789839492,-12.1703822598687,-34.7535596238619,25.3871502994028,26.8835020177747,TRUE,"ET","Redo is better","3_west_5_day_ET","discard_this_keep_other_reading",NA
"41","3_2400_west_5_day_redo_photo","3","2400","west","5","day","redo",20,80,20.1268083003874,22.5632273381295,76.3240165467626,408.798561151079,1.98438729732161,1.05539048945377,0.989366313059467,0.465698567219533,-105.222602431036,81.2224912673367,22.1037081615901,25.3596038666721,FALSE,"ET","This is better","3_west_5_day_ET","manual_flux_time_selection",1.98438729732161
"42","4_2600_east_1_day_photo","4","2600","east","1","day","photo",20,80,19.0667189855865,22.826375,74.9032322580645,414.114483870968,3.55455712115424,2.55259529536573,0.984205032275796,0.505393920502403,-7.25077365705248,90.874843174534,23.1219420164056,29.2493098111441,FALSE,"ET",NA,"4_east_1_day_ET","okay",3.55455712115424
"43","4_2600_east_2_day_photo","4","2600","east","2","day","photo",20,80,21.1218124152297,22.3557598360656,74.8949581967213,426.881852459016,2.45449819657842,-0.0876297803296331,0.976558693603329,0.289703137898038,-28.0499594166087,25.2100344887107,24.0734055817121,28.1338548028245,TRUE,"ET","Redo is better","4_east_2_day_ET","discard_this_keep_other_reading",NA
